,id,,pg_category,,pg_desc,,createdat,,
",(",98,",'",Include,"','",섹타나인,"',",20220708,),",(98,'Include','섹타나인',20220708)"
",(",99,",'",Include,"','",에이닐에프앤피,"',",20220708,),",(99,'Include','에이닐에프앤피',20220708)"
",(",100,",'",Include,"','",주식회사더즌,"',",20220708,),",(100,'Include','주식회사더즌',20220708)"
",(",101,",'",Include,"','",십일번가,"',",20220708,),",(101,'Include','십일번가',20220708)"
",(",102,",'",Include,"','",로드시스템,"',",20220708,),",(102,'Include','로드시스템',20220708)"
",(",103,",'",Include,"','",코밴,"',",20220708,),",(103,'Include','코밴',20220708)"
",(",104,",'",Include,"','",스토리정보통신,"',",20220708,),",(104,'Include','스토리정보통신',20220708)"
",(",105,",'",Include,"','",옵타움플랫폼,"',",20220708,),",(105,'Include','옵타움플랫폼',20220708)"
",(",106,",'",Include,"','",위메프,"',",20220708,),",(106,'Include','위메프',20220708)"
",(",107,",'",Include,"','",차이코퍼레이션,"',",20220708,),",(107,'Include','차이코퍼레이션',20220708)"
",(",108,",'",Include,"','",이나인페이,"',",20220708,),",(108,'Include','이나인페이',20220708)"
",(",109,",'",Include,"','",지에스페이먼트,"',",20220708,),",(109,'Include','지에스페이먼트',20220708)"
",(",110,",'",Include,"','",카페24주식회사,"',",20220708,),",(110,'Include','카페24주식회사',20220708)"
",(",111,",'",Include,"','",모비윈,"',",20220708,),",(111,'Include','모비윈',20220708)"
",(",112,",'",Include,"','",시루정보,"',",20220708,),",(112,'Include','시루정보',20220708)"
",(",113,",'",Include,"','",트래블파트너,"',",20220708,),",(113,'Include','트래블파트너',20220708)"
",(",114,",'",Include,"','",뱅크샐러드,"',",20220708,),",(114,'Include','뱅크샐러드',20220708)"
",(",115,",'",Include,"','",피앤링크,"',",20220708,),",(115,'Include','피앤링크',20220708)"
",(",116,",'",Include,"','",이롬넷,"',",20220708,),",(116,'Include','이롬넷',20220708)"
",(",117,",'",Include,"','",리싱,"',",20220708,),",(117,'Include','리싱',20220708)"
",(",118,",'",Include,"','",한국조폐,"',",20220708,),",(118,'Include','한국조폐',20220708)"
",(",119,",'",Include,"','",통통,"',",20220708,),",(119,'Include','통통',20220708)"
",(",120,",'",Include,"','",페이플,"',",20220708,),",(120,'Include','페이플',20220708)"
",(",121,",'",Include,"','",주케이티,"',",20220708,),",(121,'Include','주케이티',20220708)"
",(",122,",'",Include,"','",주식회사케이티,"',",20220708,),",(122,'Include','주식회사케이티',20220708)"
",(",123,",'",Include,"','",위대한상상,"',",20220708,),",(123,'Include','위대한상상',20220708)"
",(",124,",'",Include,"','",코리아결제,"',",20220708,),",(124,'Include','코리아결제',20220708)"
",(",125,",'",Include,"','",페이업,"',",20220708,),",(125,'Include','페이업',20220708)"
",(",126,",'",Include,"','",이삭랜드,"',",20220708,),",(126,'Include','이삭랜드',20220708)"
",(",127,",'",Include,"','",한국투자증권,"',",20220708,),",(127,'Include','한국투자증권',20220708)"
",(",128,",'",Include,"','",핀샷,"',",20220708,),",(128,'Include','핀샷',20220708)"
",(",129,",'",Include,"','",오케이인베스트,"',",20220708,),",(129,'Include','오케이인베스트',20220708)"
",(",130,",'",Include,"','",디셈버앤,"',",20220708,),",(130,'Include','디셈버앤',20220708)"
